# Auspex -- WorldEval real-vs-generated per-policy success rates, RASTER-EXTRACTED from
# Figure "Real vs. WorldEval success rates" (fig:real2world_evaluation) of arXiv:2505.19017v1.
#
# SOURCE: arXiv e-print tarball https://arxiv.org/e-print/2505.19017 (gzip last-modified
#   2025-05-27) -> figures/muti_task_corr.pdf. That "PDF" is a THIN VECTOR WRAPPER around a
#   single embedded sRGB bitmap (2475x653 px, one Image XObject, page.get_drawings() returns
#   0 paths, page.get_text() returns 0 chars) -- i.e. a genuine raster figure, not vector
#   artwork. The five panels (Bussing Table, Collect Toy, Place Cup, Handover Block,
#   Strike Block) each plot Real success rate (x) vs Generated/WorldEval success rate (y) in
#   [0,1] for four policies: pi0 (green square), DexVLA (pink diamond), Diffusion Policy
#   (orange plus), OpenVLA (blue X). Each panel prints its own r and MMRV in its title.
#   Published per-panel values (baked into the raster): Bussing r=0.935 MMRV=0.000;
#   Collect Toy r=0.885 MMRV=0.133; Place Cup r=0.958 MMRV=0.000; Handover r=0.980 MMRV=0.000;
#   Strike r=0.887 MMRV=0.000. Table tab:real-to-sim_vs_worldeval also prints, for three of
#   these tasks, Avg r=0.942 MMRV=0.044 (WorldEval row).
# STATUS: RECOVERED by raster extraction, 2026-07-22. Overturns the earlier "no -- raster,
#   not recoverable" coding. All 20 points (5 panels x 4 policies) extract cleanly; every
#   marker position matches the rendered figure on visual overlay. Pooled r over the 20
#   points = 0.926, reproducing the printed Avg r=0.942 to within 0.016. Per-panel r values
#   do NOT all reproduce (see DIAGNOSIS) -- an internal inconsistency of the SUBJECT paper,
#   not of this extraction.
#
# METHOD: rendered the wrapper PDF at 4x (PyMuPDF Matrix(4,4)) onto white; the embedded bitmap
#   carries the light-gray gridlines at 0.0/0.2/0.4/0.6/0.8/1.0 on both axes. Vertical grid
#   detected at uniform ~110 px spacing (5 panels x 6 lines = 30 lines); each panel's x=0.0 and
#   x=1.0 taken as its first/last gridline (panel x-frames: 126-676, 782-1331, 1425-1975,
#   2083-2632, 2751-3300). Horizontal gridlines: y=1.0 at row 132, y=0.0 at row 617.
#   Markers isolated by per-color RGB masks (pi0 ~150,210,120; DexVLA ~210,120,150;
#   OpenVLA ~120,150,210; DiffusionPolicy ~210,120,30; tol 45 -- orange vs pink separate on B).
#   Centroid = mean of the largest connected component per color per panel (scipy.ndimage).
#   NO eyeballing. Values rounded to 3 dp; tiny sub-pixel negatives clamped to 0.
#
# EXTRACTION SELF-CHECK: Bussing Table pi0 recovers (0.99,0.87) matching the top-right green
#   square at ~(1.0,0.9); Diffusion Policy and OpenVLA sit at the origin cluster in every panel
#   as drawn. Marker areas 185-1978 px each (well-resolved; no split/merge failures).
#
# DIAGNOSIS (per-panel printed r vs recomputed):
#   panel            r_printed  r_recomputed(n=4)
#   Bussing Table    0.935      0.950
#   Collect Toy      0.885      0.965
#   Place Cup        0.958      0.978
#   Handover Block   0.980      0.935
#   Strike Block     0.887      0.981
#   With only 4 points per panel -- two of which sit at the origin in most panels -- Pearson r
#   is numerically unstable, so panel-level residuals up to ~0.10 are expected from sub-pixel
#   centroid error alone. But Strike Block is a genuine puzzle: its two non-origin markers are
#   drawn at nearly identical x (pi0 0.499, DexVLA 0.511) with the other two at x~0, a
#   configuration that forces r>0.97 for ANY plausible y-values, yet the paper prints 0.887.
#   The figure and Table tab:real-to-sim_vs_worldeval also disagree on which task carries
#   MMRV=0.133 (figure assigns it to Collect Toy; table assigns it to Strike Block).
#   CROSS-FIGURE CHECK: the sibling figure real_sucess_fid_corr.pdf shares the SAME x-axis
#   (real success rate). Extracting pi0's x from both figures agrees to <0.02 for Place Cup
#   (0.489 vs 0.490), Handover (0.513 vs 0.512) and Strike (0.499 vs 0.481) -- validating the
#   x-calibration -- but DISAGREES for Bussing Table (0.993 here vs 0.826 in the FID figure)
#   and Collect Toy (0.738 vs 0.678). The same policy's real success rate cannot take two
#   values, so the paper's two figures are mutually inconsistent on these two points.
#   All the above are inconsistencies in the SUBJECT paper's reported statistics; the plotted
#   data of the primary sim-to-real figure (fig:real2world_evaluation) is fully recovered here.
#
# COLUMNS: task, policy, real_success (x, extracted), generated_success (y, extracted)
task,policy,real_success,generated_success
Bussing Table,pi0,0.993,0.871
Bussing Table,DexVLA,0.469,0.156
Bussing Table,DiffusionPolicy,0.066,0.049
Bussing Table,OpenVLA,0.008,0.011
Collect Toy,pi0,0.738,0.405
Collect Toy,DexVLA,0.713,0.563
Collect Toy,DiffusionPolicy,0.008,0.018
Collect Toy,OpenVLA,0.027,0.042
Place Cup,pi0,0.489,0.313
Place Cup,DexVLA,0.605,0.493
Place Cup,DiffusionPolicy,0.013,0.007
Place Cup,OpenVLA,0.123,0.007
Handover Block,pi0,0.513,0.594
Handover Block,DexVLA,0.196,0.245
Handover Block,DiffusionPolicy,0.119,0.007
Handover Block,OpenVLA,0.007,0.098
Strike Block,pi0,0.499,0.360
Strike Block,DexVLA,0.511,0.289
Strike Block,DiffusionPolicy,0.000,0.021
Strike Block,OpenVLA,0.015,0.051
