Panel,Task,Method,Success/Failure,Num_Successes,Num_Rollouts,Success_Rate,CLD_Letter
Fig4A_HW_Unseen_Nominal,BikeRotorInstall,Single Task,"[False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False]",14,50,0.28,a
Fig4A_HW_Unseen_Nominal,BikeRotorInstall,LBM finetuned,"[True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False]",9,50,0.18,a
Fig4A_HW_Unseen_Nominal,CleanLitterBox,Single Task,"[False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True]",4,50,0.08,a
Fig4A_HW_Unseen_Nominal,CleanLitterBox,LBM finetuned,"[False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True]",3,50,0.06,a
Fig4A_HW_Unseen_Nominal,ClearKitchenCounter,Single Task,"[False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True]",7,50,0.14,b
Fig4A_HW_Unseen_Nominal,ClearKitchenCounter,LBM finetuned,"[False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True]",22,50,0.44,a
Fig4A_HW_Unseen_Nominal,CutAppleIntoSlices,Single Task,"[False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False]",4,50,0.08,a
Fig4A_HW_Unseen_Nominal,CutAppleIntoSlices,LBM finetuned,"[False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False]",9,50,0.18,a
Fig4A_HW_Unseen_Nominal,SetUpBreakfastTable,Single Task,"[False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False]",0,50,0,b
Fig4A_HW_Unseen_Nominal,SetUpBreakfastTable,LBM finetuned,"[True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False]",19,50,0.38,a
