paper,pinned_version,target_scope,inferential_link,uncertainty_type,claim_type,primary_source_basis,formal_population_prediction,status
real2sim-eval,2511.04665v2,operational_domain,transport_assumption|held_out_predictive_validation,none,future_policy_prediction,"Abstract; Fig. 1; Section III-A: simulation is presented as predicting real performance over evaluated policies.",no,model_assisted_source_recode
RoboWorld,2607.01060v4,operational_domain,held_out_predictive_validation|informal_representativeness,measurement,future_policy_prediction|future_environment_use,"Introduction and Section 5.3: DROID training followed by RoboArena evaluation beyond training environments; held-out trajectories and trial-count analysis.",no,model_assisted_source_recode_and_author_spot_check
Digital Cousins,2604.15805v1,operational_domain,transport_assumption|held_out_predictive_validation,none,crossed_policy_condition_prediction,"Abstract and real-to-sim correlation section: generated cousins are validated against real outcomes across architectures and generalization levels.",no,model_assisted_source_recode
SIMPLER,2405.05941v1,operational_domain,transport_assumption|held_out_predictive_validation,none,crossed_future_policy_task_prediction,"Abstract and Fig. 1: purpose-built simulation is evaluated as a proxy for real policy performance; MMRV and behavior-mode validation accompany correlation.",no,model_assisted_source_recode
SimFoundry,2606.28276v3,operational_domain,transport_assumption|held_out_predictive_validation,none,crossed_future_policy_task_object_prediction,"Abstract; Section 5.1; Tables 2 and G.8: multiple tasks and architectures with separate held-out task and object evaluations.",no,model_assisted_source_recode
WorldGym,2506.00613v3,fixed_benchmark|intended_operational_reuse,held_out_predictive_validation|unvalidated_new_task_extrapolation,none,future_policy_prediction|future_task_prediction,"Abstract and Section 4.1: relative policy rankings are real-validated; OOD tasks are evaluated only in the world model.",no,model_assisted_source_recode
RoboSnap,2607.06699v1,operational_domain,transport_assumption|limited_held_out_predictive_validation,none,crossed_future_policy_task_prediction,"Abstract and Sections 4.3-4.5: single-image reconstruction and real-task correlation; replay uses selected scenes while the coefficient roster remains fixed.",no,model_assisted_source_recode
REALM,2512.19562v1,fixed_benchmark,exhaustive_benchmark_definition|held_out_predictive_validation|transport_assumption,p_value_only,crossed_future_policy_perturbation_prediction,"Abstract and Sections III-IV: a named seven-skill/fifteen-perturbation benchmark with nearly 800 paired rollouts.",no,model_assisted_source_recode
PolaRiS,2512.16881v2,operational_domain,held_out_predictive_validation|transport_assumption|informal_representativeness,none,crossed_future_policy_environment_prediction,"Section 5.2: co-training uses 15 held-out simulation environments and evaluation targets unseen environments; policies/tasks are described as representative.",no,model_assisted_source_recode_and_author_spot_check
SC3-Eval,2606.18610v3,operational_domain,held_out_predictive_validation,model_conditional_predictive_uncalibrated,crossed_future_policy_task_prediction,"Abstract and Sections 3.3/4.4: seven policies and a task semantic absent from training; per-chunk uncertainty is explicitly not a calibrated probability.",no,model_assisted_source_recode_and_author_spot_check
WorldEval,2505.19017v1,operational_domain,held_out_predictive_validation|informal_representativeness,none,crossed_future_policy_task_environment_prediction,"Introduction and Section 4: unseen environments, objects, and tasks are tested; limitations leave substantially novel cases unresolved.",no,model_assisted_source_recode
A Practical Recipe,2606.10366v1,fixed_benchmark,exhaustive_declared_comparison|descriptive_decision_analysis,none,descriptive_decision_comparison|operational_guidance,"Abstract and Section 5 limitation: finite policies/tasks support measured ranking and correlation comparisons but not definitive simulator or policy ranking.",no,model_assisted_source_recode
Cosmos-Surg-dVRK,2510.16240v2,operational_domain,transport_assumption|held_out_predictive_validation,p_value_only,future_policy_screening_selection,"Abstract and Fig. 1: evaluator is intended to select promising policies for real evaluation or deployment while retaining real validation as a final step.",no,model_assisted_source_recode
Gemini/Veo,2512.10675v2,operational_domain,held_out_ood_predictive_validation|transport_assumption,none,crossed_future_policy_ood_task_safety_prediction,"Abstract and Sections 3-4: 1600+ paired real evaluations across eight checkpoints, five tasks, nominal and edited OOD axes.",no,model_assisted_source_recode_and_author_spot_check
DreamDojo,2602.06949v1,operational_domain,held_out_ood_predictive_validation,none,checkpoint_interpolation|future_environment_task_prediction,"Abstract and Section 4.7: held-out validation and OOD benchmarks accompany a six-checkpoint correlation panel.",no,model_assisted_source_recode
dWorldEval,2604.22152v1,operational_domain,held_out_predictive_validation|informal_representativeness,none,crossed_future_policy_task_prediction,"Abstract; Section 4.3; Fig. 7: heterogeneous policies and task domains include physical real panels without a defined policy/task population.",no,model_assisted_source_recode
WEAVER,2606.13672v2,operational_domain,held_out_predictive_validation,none,future_policy_prediction,"Abstract and policy-evaluation section: five real manipulation tasks; reward prediction is also checked on held-out real trajectories.",no,model_assisted_source_recode
PlayWorld,2603.09030v3,operational_domain,held_out_predictive_validation|informal_coverage_argument,none,future_policy_prediction|future_object_transfer,"Abstract and Sections 3.1/4: 500+ clips from 20+ policies and held-out objects; play data are argued to approximate broad policy-outcome coverage.",no,model_assisted_source_recode
EmbodiedSplat,2509.17430v2,deployment_specific_operational_domain,transport_assumption|random_episode_initialization_fixed_scenes,none,interpolation|future_policy_variant_prediction_within_scenes,"Abstract and Section 5: captured deployment environments use randomly sampled start-goal episodes across four fixed policy variants.",no,model_assisted_source_recode
MolmoSpaces,2602.11337v2,fixed_benchmark|intended_broad_reuse,held_out_benchmark_splits|informal_representativeness|random_scene_sampling_secondary,measurement,crossed_future_policy_task_environment_prediction,"Abstract and Section 5.2: formal train/validation/test splits and random scene samples in secondary analyses; the coefficient panel remains selected.",no,model_assisted_source_recode
Mem-World,2606.18960v2,operational_domain,held_out_predictive_validation,p_value_only,crossed_future_policy_task_prediction,"Abstract; Section 4.2; Fig. 4: a fixed two-policy/five-task real comparison supports evaluator and post-training claims.",no,model_assisted_source_recode
Colosseum V2,2605.27759v1,fixed_benchmark,exhaustive_benchmark_definition|limited_hardware_validation|informal_representativeness,none,crossed_future_policy_task_perturbation_prediction,"Abstract and Section V-F: 28 tasks and 16 controlled perturbations with hardware trend validation; the hardware coefficient uses one policy.",no,model_assisted_source_recode
VISER,2605.06311v1,fixed_benchmark,transport_assumption|held_out_predictive_validation,none,crossed_future_policy_task_prediction,"Abstract and Section 6.2: a standardized realistic benchmark with real validation for fixed Octo/OpenVLA task rosters.",no,model_assisted_source_recode
OSCAR,2606.04463v2,operational_domain,held_out_predictive_validation|informal_diversity_argument,none,future_policy_embodiment_prediction,"Abstract and Section 5.4: RoboArena policy evaluation supports future virtual evaluation; held-out human data diagnose generation rather than define the seven-policy population.",no,model_assisted_source_recode
Hi-WM,2604.21741v2,operational_domain,held_out_predictive_validation,none,future_policy_prediction|held_out_condition_transfer,"Abstract; Section 4.2.3; RQ4: evaluator correlation plus held-out appearance/background/distractor tests.",no,model_assisted_source_recode
WM-PolicyEval,2511.11520v3,operational_domain,held_out_predictive_validation|informal_representativeness,none,crossed_future_policy_task_prediction,"Abstract and Section IV-C: fixed synthetic and Bridge panels; the formulation invokes a representative task set without a sampling rule.",no,model_assisted_source_recode
