episode_id,key_path,category,node_type
000000000000,meta.created_ts_ns,identity_time_control,number
000000000000,static.inference.policy.server.host,lifecycle_candidate,string
000000000001,meta.created_ts_ns,identity_time_control,number
000000000001,static.inference.policy.server.device,lifecycle_candidate,string
000000000001,static.inference.policy.server.host,lifecycle_candidate,string
000000000002,meta.created_ts_ns,identity_time_control,number
000000000002,static.inference.policy.server.host,lifecycle_candidate,string
000000000003,meta.created_ts_ns,identity_time_control,number
000000000003,static.inference.policy.server.device,lifecycle_candidate,string
000000000003,static.inference.policy.server.host,lifecycle_candidate,string
000000000004,meta.created_ts_ns,identity_time_control,number
000000000004,static.inference.policy.server.host,lifecycle_candidate,string
000000000005,meta.created_ts_ns,identity_time_control,number
000000000005,static.inference.policy.server.device,lifecycle_candidate,string
000000000005,static.inference.policy.server.host,lifecycle_candidate,string
000000000006,meta.created_ts_ns,identity_time_control,number
000000000006,static.inference.policy.server.device,lifecycle_candidate,string
000000000006,static.inference.policy.server.host,lifecycle_candidate,string
000000000007,meta.created_ts_ns,identity_time_control,number
000000000007,static.inference.policy.server.device,lifecycle_candidate,string
000000000007,static.inference.policy.server.host,lifecycle_candidate,string
000000000008,meta.created_ts_ns,identity_time_control,number
000000000008,static.inference.policy.server.device,lifecycle_candidate,string
000000000008,static.inference.policy.server.host,lifecycle_candidate,string
000000000009,meta.created_ts_ns,identity_time_control,number
000000000009,static.inference.policy.server.host,lifecycle_candidate,string
000000000010,meta.created_ts_ns,identity_time_control,number
000000000010,static.inference.policy.server.host,lifecycle_candidate,string
000000000011,meta.created_ts_ns,identity_time_control,number
000000000011,static.inference.policy.server.host,lifecycle_candidate,string
000000000012,meta.created_ts_ns,identity_time_control,number
000000000012,static.inference.policy.server.device,lifecycle_candidate,string
000000000012,static.inference.policy.server.host,lifecycle_candidate,string
000000000013,meta.created_ts_ns,identity_time_control,number
000000000013,static.inference.policy.server.host,lifecycle_candidate,string
000000000014,meta.created_ts_ns,identity_time_control,number
000000000014,static.inference.policy.server.host,lifecycle_candidate,string
000000000015,meta.created_ts_ns,identity_time_control,number
000000000015,static.inference.policy.server.host,lifecycle_candidate,string
000000000016,meta.created_ts_ns,identity_time_control,number
000000000016,static.inference.policy.server.device,lifecycle_candidate,string
000000000016,static.inference.policy.server.host,lifecycle_candidate,string
000000000017,meta.created_ts_ns,identity_time_control,number
000000000017,static.inference.policy.server.device,lifecycle_candidate,string
