"paper","pinned_arxiv","coder_id","coding_date","coefficient_id","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","judgment_fields"
"real2sim-eval","2511.04665v2","blind-b","2026-07-23","toy-packing-main-r","Toy-packing success rates across evaluated policy architectures and training checkpoints; Pearson r=0.944","16","4","4","?","16","1","0","policy|checkpoint","none","partial","§4 Sim-and-Real Correlation, Table quantitative comparison; Fig. exp-corr; Appendix §Scaling/Replaying states 16 toy-packing checkpoints","The source documents 16 checkpoint evaluations but does not establish independent training-run replication or a checkpoint sampling population.","yes","policy","no","unsupported","unsupported","unsupported","A well-defined finite checkpoint panel is described, but neither new-policy nor new-task sampling is defined.","4","1","?","0","training_runs|selection_rule|generalization_axis_stated|inference_fields"
"real2sim-eval","2511.04665v2","blind-b","2026-07-23","rope-routing-main-r","Rope-routing success rates across evaluated policy architectures and training checkpoints; Pearson r=0.901","15","4","4","?","15","1","0","policy|checkpoint","none","partial","§4 Sim-and-Real Correlation, Table quantitative comparison; Fig. exp-corr; Appendix §Replaying Real Rollouts states 15 rope-routing checkpoints","The source documents checkpoints, not separately randomized training runs; the evaluated iterations are a selected trajectory through training.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient describes selected checkpoints on one task and does not identify a policy superpopulation.","4","1","?","0","training_runs|selection_rule|generalization_axis_stated|inference_fields"
"real2sim-eval","2511.04665v2","blind-b","2026-07-23","push-t-main-r","T-block-pushing success rates across evaluated policy architectures and training checkpoints; Pearson r=0.915","12","4","4","?","12","1","0","policy|checkpoint","none","partial","§4 Sim-and-Real Correlation, Table quantitative comparison; Fig. exp-corr; Appendix §Replaying Real Rollouts states 12 push-T checkpoints","The number of independent training runs is undocumented and checkpoint inclusion is not a probability sample.","yes","policy","no","unsupported","unsupported","unsupported","The finite panel supports checkpoint monitoring for these runs, not population inference over policies or tasks.","4","1","?","0","training_runs|selection_rule|generalization_axis_stated|inference_fields"
"RoboWorld","2607.01060v4","blind-b","2026-07-23","roboarena-score","RoboWorld task-progress score versus RoboArena leaderboard score across eight policies; Pearson r=0.989","8","8","?","?","0","?","4186","policy","p-value","no","Abstract; §5.3 and Fig. 5(a): eight evaluated policies, r=0.989, p<0.001; 4,186 rollouts","Policy family/lineage relationships and a policy sampling frame are not defined; tasks and environments are aggregated within each policy point.","yes","policy","no","unsupported","unsupported","unsupported","The p-value is computed across eight policy points, but no target population of policies is specified.","8","?","?","4186","base_lineages|training_runs|tasks|generalization_axis_stated|inference_fields"
"Digital Cousins","2604.15805v1","blind-b","2026-07-23","policy-generalization-grid","Real versus simulated success rates for ACT, DP, SmolVLA, and π0 under four generalization levels; Pearson r=0.91","16","4","4","?","0","4","4","policy|condition","none","no","§IV-C and Fig. 7: four baseline methods across multiple/four generalization levels; r=0.91","Whether task aggregation occurs before each plotted policy-by-level point is not fully specified in the nearby text; independent runs are not documented.","yes","policy|condition","no","unsupported","unsupported","unsupported","The coefficient describes a crossed convenience grid, without axis-appropriate uncertainty or a defined population.","4","4","?","4","tasks|training_runs|generalization_axis_stated|inference_fields"
"SIMPLER","2405.05941v1","blind-b","2026-07-23","google-pick-coke","Google Robot Pick Coke Can, across six named policy/checkpoint variants; Pearson r=0.976","6","6","4","?","3","1","0","policy|checkpoint","none","no","§VI-B Fig. 6; Table I; Table IV: six checkpoints/variants and Pick Coke Can r=0.976","RT-1 training-stage checkpoints share a lineage; independent training runs are not documented.","yes","policy","no","unsupported","unsupported","unsupported","This is a finite six-entry policy/checkpoint comparison, not a sampled policy population.","4","1","?","0","base_lineages|training_runs|generalization_axis_stated|inference_fields"
"SIMPLER","2405.05941v1","blind-b","2026-07-23","google-move-near","Google Robot Move Near, across six named policy/checkpoint variants; Pearson r=0.855","6","6","4","?","3","1","0","policy|checkpoint","none","no","§VI-B Fig. 6; Table I; Table IV: Move Near r=0.855","The six entries include related RT-1 checkpoints and the source provides no run-level replication.","yes","policy","no","unsupported","unsupported","unsupported","The printed r is defined over the displayed policy/checkpoint panel only.","4","1","?","0","base_lineages|training_runs|generalization_axis_stated|inference_fields"
"SIMPLER","2405.05941v1","blind-b","2026-07-23","google-drawer","Google Robot drawer aggregate, across six named policy/checkpoint variants; Pearson r=0.942","6","6","4","?","3","1","0","policy|checkpoint","none","no","§VI-B Table I and Table IV: Drawer Pearson r=0.942; Fig. 6 shows Open/Close Drawer r=0.915 for a related task-wise average","The paper presents both an aggregate drawer value and separate open/close values; this row codes the headline Table I aggregate.","yes","policy","no","unsupported","unsupported","unsupported","A finite aggregate over selected named entries is supported; extrapolation is not.","4","1","?","0","base_lineages|training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"SIMPLER","2405.05941v1","blind-b","2026-07-23","google-open-drawer-place-apple","Open Drawer and Place Apple, across six named policy/checkpoint variants; Pearson r=0.969","6","6","4","?","3","1","0","policy|checkpoint","none","no","§VI-B Fig. 6: Open Drawer and Place Apple r=0.969; Table IV rightmost task","Training-run independence is not stated and some entries are checkpoints from one RT-1 training trajectory.","yes","policy","no","unsupported","unsupported","unsupported","This coefficient is descriptive for six named variants on one task.","4","1","?","0","base_lineages|training_runs|generalization_axis_stated|inference_fields"
"SIMPLER","2405.05941v1","blind-b","2026-07-23","bridge-task-mean","Mean of per-task Pearson correlations for eight BridgeData V2 tasks, each comparing three policies; mean r=0.890","24","3","3","?","0","8","0","mean-of-correlations","none","no","§VI-B Fig. 7 caption: MMRV and Pearson r estimated per task and averaged; eight named tasks and three policies","The reported 0.890 is a mean of eight correlations, not one correlation on 24 pooled points; no task sampling frame is given.","yes","task|policy","no","unsupported","unsupported","unsupported","The task-wise averaging preserves a finite-panel summary but does not support new-task inference without task-level sampling and uncertainty.","3","8","?","0","training_runs|generalization_axis_stated|inference_fields"
