# Auspex -- Cosmos-Surg-dVRK vs real-world dVRK tabletop scatter, VECTOR-EXTRACTED from
# arXiv:2510.16240 (Cosmos-Surg-dVRK).
#
# SOURCE: arXiv e-print tarball https://arxiv.org/e-print/2510.16240 ->
#   figures/figure_1b.pdf       (Fig 1b, "Automated evaluation", label fig:cosmos-policy-eval-overview-b;
#                                panel prints "Pearson r = 0.756 (p<0.001)")
#   figures/human_vs_dvrk.pdf   (fig:policy-success, "Manual Cosmos-Surg-dVRK vs. real-world tabletop
#                                success rates"; panel prints "Pearson r = 0.718 (p<0.001)")
#   Both are original vector figures. Caption (paper.tex ~l.273): "Each policy is shown with two
#   training regimes: half-training and full-training across four tabletop suture pad tasks."
# STATUS: EXTRACTED (not eyeballed), 2026-07-20. Reproduces both published r values.
#
# METHOD: Marker coordinates read from PDF drawing commands (PyMuPDF get_drawings). Marker anchor =
#   bounding-box center (correct for all matplotlib markers incl. triangles, whose vertex centroid is
#   biased by 1/3 half-height -- bbox center used deliberately). Axis calibration: 6 interior
#   gridlines per axis vs the 0.0..1.0 tick-label centers; all 4 linear fits exact
#   (max residual 1.3e-5 data units). Data markers isolated geometrically: fill color in the 4 task
#   colors, black stroke, bbox 10-19 pt, center inside the plot rect, excluding the Task-legend box
#   (whose 10.0 pt legend swatch circles differ in size from the 12.2 pt data circles).
#   Exactly 24 markers per panel = 4 tasks x 6 policies. NO pixel estimation, NO eyeballing.
#
# SERIES IDENTIFICATION: task from fill color, matched to the Task-legend swatch nearest each label
#   (Handover=blue, Throw=orange, Knot Tie=green, Pickup=pink). Policy from marker shape, matched to
#   the Policy-legend markers by shape signature (circle / square / diamond=4-vertex / hexagon /
#   triangle-up / triangle-down). The two triangle shapes share a bounding box and are
#   disambiguated by apex orientation: up = GR00T N1.5 25k, down = GR00T N1 39k. Mapping:
#   pi0 4k=square, pi0 10k=circle, GR00T N1.5 25k=tri-up, N1.5 50k=diamond, N1 20k=hexagon,
#   N1 39k=tri-down. Identical in both panels. NO ambiguous points.
#
# VERIFICATION -- computed vs published Pearson r (nothing was tuned to match):
#   figure_1b (Automated)       n=24  computed 0.756045  published 0.756  delta 0.000045  MATCH
#   human_vs_dvrk (Manual)      n=24  computed 0.717967  published 0.718  delta 0.000033  MATCH
#
# *** NORMALIZATION FINDING -- PLOTTED VALUES ARE NOT RAW SUCCESS RATES ***
#   Extracted coordinates sit exactly (max dev ~1e-5) on a 1/29 lattice (Automated panel) and a
#   1/55 lattice (Manual panel), and max y = 1.000000 in BOTH panels. Both panels are exactly
#   consistent with divide-by-panel-max rendering:
#     Automated: plotted = raw * 30/29 (raw x on integer/10 grid, raw y on integer/30 grid)
#     Manual   : plotted = raw * 60/55 (raw x on integer/10 grid, raw y on integer/60 grid)
#   The raw grids match the paper's stated protocol: 10 real rollouts per task (x = successes/10),
#   30 sim rollouts per policy-task in the automated pipeline (10 trials x 3 seeds; y = j/30).
#   The /60 manual-sim grid is CONSISTENT WITH but not stated as 2 labels per sim video (hypothesis).
#   CONSEQUENCES: (1) the two panels' x axes disagree by the exact factor 58/55 (=1.0545) even
#   though both plot the same real-world rates -- descaled x agrees exactly across panels for every
#   (task,policy); (2) plotted "success rates" are inflated ~3.4% (Automated) / ~9.1% (Manual);
#   (3) Pearson/Spearman are scale-invariant, so the printed r values are unaffected.
#   Columns x_real_descaled/y_sim_descaled below apply the inverse scaling (interpretation, not
#   extraction); x_real/y_sim are the as-plotted extracted values.
#
# INDEPENDENT-UNIT STRUCTURE: the 6 "policies" are 2 checkpoints (half/full training) of 3 training
#   runs: pi0 (4k,10k), groot-n1.5 (25k,50k), groot-n1 (20k,39k). Leverage audit unit = training run
#   (k=3); dropping a unit removes 8 of 24 points (2 checkpoints x 4 tasks). The 24 points within a
#   panel are NOT 24 independent policies. The two panels share the same x data (see above) and are
#   NOT independent evidence.
#
# COINCIDENT / NEAR-COINCIDENT POINTS (within 2% of range on BOTH axes; resolved by color+shape,
#   would merge under pixel re-extraction):
#   Automated: 1 EXACT duplicate -- Handover/GR00T N1.5 25k == Knot Tie/GR00T N1 20k (0.5173,0.6897)
#   Manual: 2 exact-x pairs incl. 1 EXACT duplicate -- Pickup/pi0 4k == Knot Tie/GR00T N1 20k
#     (0.5455,0.7091); near pairs: KnotTie/pi0-10k~Throw/N1.5-50k, Pickup/pi0-10k~Throw/N1-20k,
#     Handover/pi0-4k~Handover/N1-39k, Pickup/N1.5-50k~Pickup/N1-20k, Handover/N1.5-25k~Throw/N1.5-25k
#
# LEVERAGE (drop-one over k=3 independent units, per panel):
#   Automated: r=0.7560, drop-one range [0.6830, 0.7912], max|dr|=0.0730 (pi0) -> does NOT fire
#              rho=0.7828 (tie-aware; the data have exact lattice ties), max|drho|=0.0859 (pi0)
#   Manual   : r=0.7180, drop-one range [0.5945, 0.8413], max|dr|=0.1235 (pi0) -> FIRES (>0.10)
#              rho=0.7261 (tie-aware), max|drho|=0.1312 (pi0)
#   In BOTH panels the most influential unit is pi0 by both r and rho.
#
# Fetched 2026-07-20 from the current e-print of arXiv:2510.16240.
#
panel,task,policy,unit,x_real,y_sim,x_real_descaled,y_sim_descaled
automated_fig1b,Handover,pi0 4k,pi0,0.2069,0.2414,0.2,0.2333
automated_fig1b,Handover,pi0 10k,pi0,0.3104,0.5173,0.3,0.5000
automated_fig1b,Handover,GR00T N1.5 25k,groot-n1.5,0.5173,0.6897,0.5,0.6667
automated_fig1b,Handover,GR00T N1.5 50k,groot-n1.5,0.6207,0.5517,0.6,0.5333
automated_fig1b,Handover,GR00T N1 20k,groot-n1,0.6207,0.4138,0.6,0.4000
automated_fig1b,Handover,GR00T N1 39k,groot-n1,0.2069,0.2759,0.2,0.2667
automated_fig1b,Knot Tie,pi0 4k,pi0,0.1035,0.3448,0.1,0.3333
automated_fig1b,Knot Tie,pi0 10k,pi0,0.3104,0.3448,0.3,0.3333
automated_fig1b,Knot Tie,GR00T N1.5 25k,groot-n1.5,0.4138,0.5862,0.4,0.5667
automated_fig1b,Knot Tie,GR00T N1.5 50k,groot-n1.5,0.4138,0.3793,0.4,0.3667
automated_fig1b,Knot Tie,GR00T N1 20k,groot-n1,0.5173,0.6897,0.5,0.6667
automated_fig1b,Knot Tie,GR00T N1 39k,groot-n1,0.4138,0.6552,0.4,0.6333
automated_fig1b,Pickup,pi0 4k,pi0,0.5173,0.7931,0.5,0.7667
automated_fig1b,Pickup,pi0 10k,pi0,0.6207,0.9655,0.6,0.9333
automated_fig1b,Pickup,GR00T N1.5 25k,groot-n1.5,0.8276,0.9310,0.8,0.9000
automated_fig1b,Pickup,GR00T N1.5 50k,groot-n1.5,0.7241,0.9310,0.7,0.9000
automated_fig1b,Pickup,GR00T N1 20k,groot-n1,0.7241,0.8966,0.7,0.8667
automated_fig1b,Pickup,GR00T N1 39k,groot-n1,0.6207,0.8276,0.6,0.8000
automated_fig1b,Throw,pi0 4k,pi0,0.3104,0.7241,0.3,0.7000
automated_fig1b,Throw,pi0 10k,pi0,0.7241,0.8276,0.7,0.8000
automated_fig1b,Throw,GR00T N1.5 25k,groot-n1.5,0.5173,0.7586,0.5,0.7333
automated_fig1b,Throw,GR00T N1.5 50k,groot-n1.5,0.3104,0.6897,0.3,0.6667
automated_fig1b,Throw,GR00T N1 20k,groot-n1,0.6207,1.0000,0.6,0.9667
automated_fig1b,Throw,GR00T N1 39k,groot-n1,0.9310,0.8621,0.9,0.8333
manual_human_vs_dvrk,Handover,pi0 4k,pi0,0.2182,0.3273,0.2,0.3000
manual_human_vs_dvrk,Handover,pi0 10k,pi0,0.3273,0.5273,0.3,0.4833
manual_human_vs_dvrk,Handover,GR00T N1.5 25k,groot-n1.5,0.5455,0.6182,0.5,0.5667
manual_human_vs_dvrk,Handover,GR00T N1.5 50k,groot-n1.5,0.6545,0.6182,0.6,0.5667
manual_human_vs_dvrk,Handover,GR00T N1 20k,groot-n1,0.6545,0.3273,0.6,0.3000
manual_human_vs_dvrk,Handover,GR00T N1 39k,groot-n1,0.2182,0.3455,0.2,0.3167
manual_human_vs_dvrk,Knot Tie,pi0 4k,pi0,0.1091,0.4000,0.1,0.3667
manual_human_vs_dvrk,Knot Tie,pi0 10k,pi0,0.3273,0.5818,0.3,0.5333
manual_human_vs_dvrk,Knot Tie,GR00T N1.5 25k,groot-n1.5,0.4364,0.6364,0.4,0.5833
manual_human_vs_dvrk,Knot Tie,GR00T N1.5 50k,groot-n1.5,0.4364,0.8364,0.4,0.7667
manual_human_vs_dvrk,Knot Tie,GR00T N1 20k,groot-n1,0.5455,0.7091,0.5,0.6500
manual_human_vs_dvrk,Knot Tie,GR00T N1 39k,groot-n1,0.4364,0.7636,0.4,0.7000
manual_human_vs_dvrk,Pickup,pi0 4k,pi0,0.5455,0.7091,0.5,0.6500
manual_human_vs_dvrk,Pickup,pi0 10k,pi0,0.6545,0.9455,0.6,0.8667
manual_human_vs_dvrk,Pickup,GR00T N1.5 25k,groot-n1.5,0.8727,1.0000,0.8,0.9167
manual_human_vs_dvrk,Pickup,GR00T N1.5 50k,groot-n1.5,0.7636,0.9273,0.7,0.8500
manual_human_vs_dvrk,Pickup,GR00T N1 20k,groot-n1,0.7636,0.9455,0.7,0.8667
manual_human_vs_dvrk,Pickup,GR00T N1 39k,groot-n1,0.6545,0.7091,0.6,0.6500
manual_human_vs_dvrk,Throw,pi0 4k,pi0,0.3273,0.6545,0.3,0.6000
manual_human_vs_dvrk,Throw,pi0 10k,pi0,0.7636,0.8364,0.7,0.7667
manual_human_vs_dvrk,Throw,GR00T N1.5 25k,groot-n1.5,0.5455,0.6000,0.5,0.5500
manual_human_vs_dvrk,Throw,GR00T N1.5 50k,groot-n1.5,0.3273,0.6000,0.3,0.5500
manual_human_vs_dvrk,Throw,GR00T N1 20k,groot-n1,0.6545,0.9636,0.6,0.8833
manual_human_vs_dvrk,Throw,GR00T N1 39k,groot-n1,0.9818,0.8545,0.9,0.7833
