Panel,Task,Method,Success/Failure,Num_Successes,Num_Rollouts,Success_Rate,CLD_Letter
Fig3A_Sim_Unseen_Nominal,BimanualPlaceAvocadoFromBowlIntoBin,Single Task,"[True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True]",137,200,0.685,b
Fig3A_Sim_Unseen_Nominal,BimanualPlaceAvocadoFromBowlIntoBin,LBM finetuned,"[True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True]",180,200,0.9,a
Fig3A_Sim_Unseen_Nominal,PutMugInCenterOfTable,Single Task,"[True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True]",82,200,0.41,b
Fig3A_Sim_Unseen_Nominal,PutMugInCenterOfTable,LBM finetuned,"[True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True]",149,200,0.745,a
Fig3A_Sim_Unseen_Nominal,BimanualPutSpatulaOnPlateFromUtensilCrock,Single Task,"[False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,False]",100,200,0.5,a
Fig3A_Sim_Unseen_Nominal,BimanualPutSpatulaOnPlateFromUtensilCrock,LBM finetuned,"[False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True]",102,200,0.51,a
Fig3A_Sim_Unseen_Nominal,Aggregate - nominal,Single Task,"[True,True,True,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False]",319,600,0.5316666667,b
Fig3A_Sim_Unseen_Nominal,Aggregate - nominal,LBM finetuned,"[False,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True]",431,600,0.7183333333,a
Fig3B_Sim_Unseen_DistShift,BimanualPlaceAvocadoFromBowlIntoBin,Single Task,"[False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True]",117,198,0.5909090909,b
Fig3B_Sim_Unseen_DistShift,BimanualPlaceAvocadoFromBowlIntoBin,LBM finetuned,"[True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False]",155,200,0.775,a
