Panel,Task,Method,Task_Progress_Results,Task_Progress_Bins,Avg_Task_Progress,Num_Rollouts,Num_Milestones,CLD_Letter
Fig4D_HW_Unseen_Nominal_Progress,BikeRotorInstall,Single Task,"[0.53846154,0.38461538,0.38461538,0.53846154,0.38461538,0.92307692,0.53846154,0.53846154,0.53846154,0.46153846,0.53846154,0.53846154,1.,0.38461538,0.,0.53846154,0.53846154,0.15384615,1.,0.53846154,1.,0.15384615,1.,0.53846154,1.,0.53846154,0.07692308,0.53846154,1.,0.07692308,0.38461538,0.30769231,1.,0.53846154,1.,1.,0.92307692,1.,0.53846154,1.,0.38461538,1.,1.,0.38461538,0.53846154,1.,0.23076923,0.,0.53846154,0.92307692]","[0.,0.07692308,0.15384615,0.23076923,0.30769231,0.38461538,0.46153846,0.53846154,0.61538462,0.69230769,0.76923077,0.84615385,0.92307692,1.]",0.6015384612,50,13,a
Fig4D_HW_Unseen_Nominal_Progress,BikeRotorInstall,LBM Finetuned,"[1.,0.30769231,0.53846154,1.,1.,0.46153846,1.,0.15384615,0.38461538,0.38461538,0.53846154,0.53846154,0.92307692,0.38461538,0.07692308,0.38461538,0.53846154,0.46153846,0.84615385,0.53846154,0.53846154,0.76923077,0.53846154,0.53846154,0.07692308,0.53846154,0.46153846,0.53846154,0.53846154,0.38461538,1.,1.,0.92307692,0.38461538,0.53846154,1.,0.46153846,0.38461538,1.,0.46153846,0.30769231,0.38461538,0.92307692,0.38461538,0.15384615,0.46153846,0.53846154,1.,0.53846154,0.38461538]","[0.,0.07692308,0.15384615,0.23076923,0.30769231,0.38461538,0.46153846,0.53846154,0.61538462,0.69230769,0.76923077,0.84615385,0.92307692,1.]",0.5723076916,50,13,a
Fig4D_HW_Unseen_Nominal_Progress,CleanLitterBox,Single Task,"[0.85714286,0.,0.14285714,0.,0.14285714,1.,0.14285714,0.71428571,0.14285714,0.71428571,0.28571429,0.,0.71428571,0.28571429,1.,0.57142857,0.,0.57142857,0.14285714,0.57142857,0.14285714,0.57142857,0.,0.42857143,0.57142857,0.14285714,1.,0.85714286,0.85714286,0.28571429,0.71428571,0.14285714,0.14285714,0.71428571,0.,0.28571429,0.14285714,0.42857143,0.,0.,0.71428571,0.85714286,0.14285714,0.42857143,0.,0.71428571,0.85714286,0.14285714,0.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.405714285,50,7,b
Fig4D_HW_Unseen_Nominal_Progress,CleanLitterBox,LBM Finetuned,"[0.85714286,0.28571429,0.14285714,0.42857143,0.,1.,0.57142857,0.85714286,0.28571429,0.85714286,0.57142857,0.28571429,0.85714286,0.42857143,1.,0.71428571,0.57142857,0.85714286,0.57142857,0.57142857,0.28571429,0.85714286,0.42857143,0.71428571,0.85714286,0.85714286,0.85714286,0.57142857,0.,0.42857143,0.71428571,0.85714286,0.57142857,0.85714286,0.71428571,0.85714286,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.85714286,0.85714286,0.57142857,0.57142857,0.57142857,0.85714286,0.85714286,0.42857143,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.6171428578,50,7,a
Fig4D_HW_Unseen_Nominal_Progress,ClearKitchenCounter,Single Task,"[0.,0.57142857,1.,0.57142857,0.57142857,0.,0.57142857,0.85714286,0.28571429,0.28571429,0.14285714,0.14285714,0.85714286,0.85714286,0.,0.14285714,0.57142857,0.28571429,0.85714286,0.,0.,0.,0.85714286,1.,0.,1.,0.,0.85714286,0.28571429,0.14285714,1.,1.,0.14285714,0.14285714,0.14285714,0.28571429,0.85714286,0.57142857,0.14285714,0.,0.57142857,0.14285714,0.57142857,0.,0.85714286,0.57142857,0.14285714,1.,0.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.4371428572,50,7,b
Fig4D_HW_Unseen_Nominal_Progress,ClearKitchenCounter,LBM Finetuned,"[0.57142857,0.28571429,0.85714286,1.,1.,0.85714286,0.28571429,0.85714286,0.85714286,1.,1.,0.85714286,1.,1.,0.85714286,0.85714286,0.57142857,0.14285714,0.,1.,0.57142857,0.28571429,1.,1.,1.,0.57142857,1.,1.,0.57142857,1.,1.,0.57142857,0.85714286,0.85714286,1.,1.,0.57142857,1.,0.85714286,0.85714286,0.85714286,1.,1.,0.71428571,0.85714286,1.,0.71428571,0.85714286,1.,1.]","[0.,0.14285714,0.28571429,0.42857143,0.57142857,0.71428571,0.85714286,1.]",0.8085714292,50,7,a
Fig4D_HW_Unseen_Nominal_Progress,CutAppleIntoSlices,Single Task,"[0.78571429,0.57142857,1.,0.85714286,0.57142857,0.85714286,1.,0.78571429,0.42857143,0.42857143,0.71428571,0.85714286,0.71428571,0.92857143,0.85714286,0.,0.64285714,0.57142857,0.42857143,0.,0.85714286,0.35714286,0.35714286,0.42857143,0.85714286,0.07142857,0.35714286,0.,0.35714286,1.,0.85714286,0.78571429,0.57142857,0.5,0.85714286,0.85714286,0.5,0.85714286,0.42857143,1.,0.35714286,0.85714286,0.,0.85714286,0.5,0.5,0.57142857,0.85714286,0.5,0.78571429]","[0.,0.07142857,0.14285714,0.21428571,0.28571429,0.35714286,0.42857143,0.5,0.57142857,0.64285714,0.71428571,0.78571429,0.85714286,0.92857143,1.]",0.612857144,50,14,b
Fig4D_HW_Unseen_Nominal_Progress,CutAppleIntoSlices,LBM Finetuned,"[0.57142857,1.,0.85714286,0.85714286,0.85714286,0.92857143,0.85714286,0.85714286,0.35714286,0.35714286,1.,0.92857143,0.92857143,0.78571429,0.57142857,1.,0.92857143,0.85714286,0.92857143,0.78571429,0.85714286,0.35714286,0.42857143,0.78571429,0.57142857,0.85714286,1.,0.85714286,1.,1.,0.57142857,1.,0.42857143,0.57142857,0.78571429,0.5,0.85714286,0.92857143,0.92857143,0.5,0.35714286,0.92857143,0.92857143,0.78571429,1.,0.92857143,1.,0.85714286,0.78571429,0.42857143]","[0.,0.07142857,0.14285714,0.21428571,0.28571429,0.35714286,0.42857143,0.5,0.57142857,0.64285714,0.71428571,0.78571429,0.85714286,0.92857143,1.]",0.7800000016,50,14,a
Fig4D_HW_Unseen_Nominal_Progress,SetUpBreakfastTable,Single Task,"[0.33333333,0.33333333,0.75,0.66666667,0.66666667,0.83333333,0.25,0.58333333,0.5,0.58333333,0.75,0.33333333,0.16666667,0.33333333,0.33333333,0.41666667,0.41666667,0.33333333,0.66666667,0.33333333,0.41666667,0.58333333,0.33333333,0.58333333,0.41666667,0.5,0.25,0.5,0.5,0.41666667,0.5,0.5,0.66666667,0.66666667,0.33333333,0.08333333,0.5,0.66666667,0.25,0.25,0.25,0.33333333,0.66666667,0.5,0.66666667,0.66666667,0.66666667,0.41666667,0.25,0.33333333]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.465,50,12,b
Fig4D_HW_Unseen_Nominal_Progress,SetUpBreakfastTable,LBM Finetuned,"[1.,1.,0.91666667,0.91666667,1.,0.91666667,1.,0.75,0.91666667,0.83333333,0.91666667,1.,0.83333333,0.83333333,0.91666667,0.83333333,1.,0.91666667,1.,0.,0.91666667,1.,0.91666667,0.5,0.83333333,0.75,1.,1.,1.,0.66666667,0.83333333,0.83333333,0.41666667,0.83333333,0.66666667,0.,0.91666667,1.,1.,1.,0.83333333,0.91666667,1.,1.,1.,1.,1.,0.66666667,0.75,0.75]","[0.,0.08333333,0.16666667,0.25,0.33333333,0.41666667,0.5,0.58333333,0.66666667,0.75,0.83333333,0.91666667,1.]",0.8500000004,50,12,a
