# Auspex -- DIGITIZED reference from Fig 3 of arXiv:2511.04665 (both axes).
#
# PURPOSE: interim sanity baseline ONLY. When our GPU sweep produces sim_results.csv, compare our
# sim_success against this paper_sim column -- large divergence => sweep/asset/config bug to debug
# BEFORE trusting anything. This file is read only by the comparison arm in
# measure_noise_floor.py.
#
# STATUS: PROVISIONAL, read by eye off Fig 3 (best-real-checkpoint per policy = rightmost dot/color).
# Accuracy +/- ~0.05; worse on T-block (near-ties, big error bars). Replace with author numbers.
#
# real_success  = x-axis (also mirrored in input-eyeballed-real-reference.csv)
# paper_sim      = y-axis (the paper's OWN simulated success for that same point)
task,policy,real_success,paper_sim
rope,act,95,74
rope,dp,85,75
rope,svla,88,55
rope,pi0,85,85
sloth,act,85,70
sloth,dp,70,75
sloth,svla,35,15
sloth,pi0,80,63
T,act,44,44
T,dp,93,87
T,svla,55,31
T,pi0,80,94
