episode_id,policy_model,checkpoint_variant,task,object,tote_placement,external_camera,created_ts_ns,utc_date,session_id,meta_source_path,meta_sha256,static_source_path,static_sha256,initial_item_count
000000000000,groot,270226-ee_rot6d_rel:150000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,right,1774342697081461155,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000000/meta.json,b606670fe0e1d7f5394f13265c649891860353e639b57adab6f0a2a20e44b848,phail/v1.0/dataset/rollouts/000000000000/000000000000/static.json,258f17d34740cf529afa17bf22cf33cc5018a0ef56e838c351ddcce8d7ea5835,8
000000000001,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Wooden spoons,left,right,1774343988790245237,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000001/meta.json,8f8be2e17955e05f8041e21556814d82e9ad29fa5d21da27fc6ca74da11d26dc,phail/v1.0/dataset/rollouts/000000000000/000000000001/static.json,8bd5007b06ab4c5099d480d1f9e9e8528469518f3330f76114dbb97fbec5ad89,8
000000000002,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774344415998651079,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000002/meta.json,2607cbc9b98e7cd1b9017efc2d3e02be854cfaff8c5d90a82b624999287072bc,phail/v1.0/dataset/rollouts/000000000000/000000000002/static.json,7f89235403d66441f2e17bcea53b92453bd912df12f00b22bc907d8b9237ff03,8
000000000003,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774344679231523325,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000003/meta.json,72454631f89ca94f14d92502b87e257d1b2dc2ff64fc827ef955edba8986255d,phail/v1.0/dataset/rollouts/000000000000/000000000003/static.json,59f1dd1d49394f81f70dfa2784b8d8acbd0c6b6790ffd415ab91adb50472334e,8
000000000004,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774345125266467304,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000004/meta.json,04eb064d42d4392d2bcf53d361923bf9db10803cb08076cdb0a31f4aaec09289,phail/v1.0/dataset/rollouts/000000000000/000000000004/static.json,f69d944499396af16b1abb2725236d07ffc3c7eb580428b5c99a00f74f35c068,8
000000000005,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774345385268271449,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000005/meta.json,88a4987860171c47a03491861ba6ad5f103b3fdbf82f7c2ae274c997222b69d8,phail/v1.0/dataset/rollouts/000000000000/000000000005/static.json,881c5c2dceb6e2243595de4581916ca68fc698a226d174a344abe20291c80a10,8
000000000006,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774345862846047356,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000006/meta.json,e82b3f91453ac96f53e99bee061d638a52197bef73c8e64f6d503f162185c7e0,phail/v1.0/dataset/rollouts/000000000000/000000000006/static.json,97de794f4bf51431a16539d678727bee0b2703b1650bf11aafacd8b6336acca5,8
000000000007,smolvla,170316_ee:200000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774345909969618993,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000007/meta.json,0342a3b91d6fafd02192e32f8417ae0d1f76297434f5c115c2161c9431b52123,phail/v1.0/dataset/rollouts/000000000000/000000000007/static.json,aeeb6db09416f7ebd8e46701b14429cf2f370a4760e48da2f6227d68a8f9402a,8
000000000008,act,270226-ee:220000,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774346233712205788,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000008/meta.json,c3adf7ea3034e997400afe0a0458fadbaf715071b559f92e8d284454fd72414f,phail/v1.0/dataset/rollouts/000000000000/000000000008/static.json,5f70f5eda0bb4303e325764bdabd441bd95e75b6207bf4f3892f052a2a8296b9,8
000000000009,openpi,270226-ee:199999,Pick all the items one by one from transparent tote and place them into the large grey tote.,Batteries,right,right,1774346513984844761,2026-03-24,,phail/v1.0/dataset/rollouts/000000000000/000000000009/meta.json,193965855c35347592f4ef3a93a152da749e50812b60d0afd48a9d9e01eaf32c,phail/v1.0/dataset/rollouts/000000000000/000000000009/static.json,cc62c5d430a55191469abd4dd95289a49834d35a51e6ff4d5b478f63501a3b23,8
