Panel,Task,Method,Success/Failure,Num_Successes,Num_Rollouts,Success_Rate,CLD_Letter
FigS33A_Sim_Seen_Nominal,BimanualPlaceAppleFromBowlIntoBin,Single Task,"[True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True]",149,200,0.745,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceAppleFromBowlIntoBin,LBM zeroshot,"[True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True]",151,200,0.755,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceAppleFromBowlIntoBin,LBM (Fixed) zeroshot,"[True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True]",144,200,0.72,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceAppleFromBowlIntoBin,LBM finetuned,"[True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True]",158,200,0.79,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceFruitFromBowlIntoBin,Single Task,"[True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True]",123,200,0.615,b
FigS33A_Sim_Seen_Nominal,BimanualPlaceFruitFromBowlIntoBin,LBM zeroshot,"[True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True]",172,200,0.86,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceFruitFromBowlIntoBin,LBM (Fixed) zeroshot,"[True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True]",174,200,0.87,a
FigS33A_Sim_Seen_Nominal,BimanualPlaceFruitFromBowlIntoBin,LBM finetuned,"[True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True]",173,200,0.865,a
FigS33A_Sim_Seen_Nominal,BimanualPutRedBellPepperInBin,Single Task,"[True,True,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,True]",166,199,0.8341708543,a
FigS33A_Sim_Seen_Nominal,BimanualPutRedBellPepperInBin,LBM zeroshot,"[True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True]",166,200,0.83,a
