paper,version,headline_unit,uncertainty,selection_rule,reversal_evidence,reversal_class,status,source_locator
real2sim-eval,2511.04665v2,policy-checkpoint,none,all checkpoints stated but full manifest absent,"T-block mean-rule selection is wrong; v1-to-v2 MMRVs change after gap-side correction; raw matrix absent",direct decision failure plus provenance gap,confirmed,"Fig. 3; Table I; v1/v2 sections/04-experiments.tex; author confirmation"
RoboWorld,2607.01060v4,policy,p-value,policy roster fixed,"All four recovered top-1 decisions agree; Fig. 9a r drops .989 to .798 under leave-one-policy-out",sensitivity without reversal,confirmed,"Figs. 5a/9/10; vector source figures"
Digital Cousins,2604.15805v1,policy-condition,none,no rule stated,"Top-1 agrees overall and at all four generalization levels; winner is dominant",positive control,confirmed,"Correlation_Final.pdf and numeric experiment tables"
SIMPLER,2405.05941v1,policy-checkpoint,none,named checkpoints,"Audit-defined equal-task winners agree; 3/9 task decisions disagree; README MMRV example reverses argument order",heterogeneity plus documentation defect,confirmed,"Eq. 1; tables; official metrics.py and calc_metrics.py"
SimFoundry,2606.28276v3,mean of per-task policy correlations,none,task-specific rosters stated,"Headline .911 is a mean of seven coefficients with k=5 or k=3, not one 29-point coefficient",estimand correction,confirmed,"Sec. 5.1; Fig. 4; Table G.1"
WorldGym,2506.00613v3,policy-task,p-value,no rule stated,"Exact 51-cell table gives r=.784786 and correct aggregate winner OpenVLA",positive control,confirmed,"Fig. 4a; appendix detailed Bridge results"
RoboSnap,2607.06699v1,task-specific fine-tune,none,task roster stated,"Figure r=.9089 and table r=.8865 both select 4.2; task and policy are confounded",value discrepancy without decision reversal,confirmed,"Fig. 6/figure5.pdf; inline table"
REALM,2512.19562v1,policy-task-condition,p-value,no rule stated,"All four task-mean policy decisions select pi0-FAST; V-VIEW uses 14 rather than 21 points",positive control plus unit correction,confirmed,"Fig. 6/corr_plot_perturbations.pdf"
PolaRiS,2512.16881v2,policy,none,1k-step checkpoint rule stated,"Pre-specification limits selection bias; four-policy finite panel does not identify future-policy inference",no demonstrated reversal,confirmed,"evaluation section; main correlation figure"
SC3-Eval,2606.18610v3,checkpoint-condition,none,seven checkpoints not selection-justified,"Coefficient axes do not support the claimed held-out policy/task target; no independent outcome matrix recovered",unresolved generalization claim,unresolved,"Secs. 4.1-4.2; Fig. 4; App. A.2"
WorldEval,2505.19017v1,mean of task correlations,none,no rule stated,"Printed .942 is not pooled r=.926; Strike geometry and task/MMRV labels conflict; aggregate winner remains pi0",statistic/source inconsistency without observed top1 reversal,confirmed,"Table 1; muti_task_corr.pdf; evaluation text"
A Practical Recipe,2606.10366v1,rank panel,none,no rule stated,"Sim and real top ranks disagree in 3/11 panels; absolute values are unreleased",direct decision failure,confirmed,"Tables policy_rankings and real_to_sim_metrics"
Cosmos-Surg-dVRK,2510.16240v2,policy-checkpoint-task,p-value,checkpoint IDs stated but rationale absent,"The printed 24-cell statistic mixes policy/checkpoint/task axes; under equal-task checkpoint means the manual panel has r=.883 but selects GR00T N1.5 50k instead of GR00T N1 20k with 10 pp regret",direct decision failure under declared audit aggregation,confirmed,"Fig. 1b; human_vs_dvrk.pdf; policy/task legends"
Gemini/Veo,2512.10675v2,policy variant aggregated over tasks,none,no model-state rule,"Recovered r≈.888 matches .88; eight variants share one base lineage",unit sensitivity without demonstrated reversal,confirmed,"evaluation section; Fig. 4"
DreamDojo,2602.06949v1,checkpoint,none,no checkpoint selection rule,"Six checkpoints come from one training run and one task; future-policy claim is not identified",generalization overreach,confirmed,"Sec. 5.2; Fig. 5a"
dWorldEval,2604.22152v1,checkpoint-task,none,no exact headline manifest,"Exact headline point and checkpoint counts are not textually recoverable",unresolved unit identity,unresolved,"Secs. 4.2.3/4.3; Figs. 6-7"
WEAVER,2606.13672v2,policy-task,none,roster stated,"Advertised .870 reproduces as Spearman; Pearson is .863",metric identity correction,confirmed,"WEAVER-FT correlation panel"
PlayWorld,2603.09030v3,trained policy entry,none,18 entries described,"Larger finite panel improves stability but no policy/task sampling frame exists",no demonstrated reversal,confirmed,"policy-evaluation section; main correlation figure"
EmbodiedSplat,2509.17430v2,policy variant,none,variant roster stated,"Statistic labeled SRCC reproduces as Pearson in both four-point panels",metric identity correction,confirmed,"Polycam and DN correlation panels"
MolmoSpaces,2602.11337v2,policy by task,CI,released model artifacts stated,"Task panels have different policy/episode support; intervals are finite-panel only",no demonstrated reversal,confirmed,"Sec. 5.2; Fig. 11"
Mem-World,2606.18960v2,policy-task,p-value,fixed post-training checkpoints stated,"Two-policy by five-task pooled result has no defined new-policy/task population",no demonstrated reversal,confirmed,"Sec. 4.2; Fig. 4"
Colosseum V2,2605.27759v1,condition-task,none,conditions stated inconsistently,"Text says five conditions while figure/source arrays contain six",unit-count correction,confirmed,"Secs. IV-C/V-E; Fig. 7"
VISER,2605.06311v1,task within fixed policy,none,not applicable,"Headline .92 averages Octo k=4 and OpenVLA k=5 task correlations; task rosters differ",estimand correction,confirmed,"Sec. 6.2; Table 5"
OSCAR,2606.04463v2,policy/session,none,pinned sessions but no model-state rule,"Seven printed policy values reproduce r=.855 versus printed .852 but select PG-FAST+ instead of real winner pi0-FAST with 1.1 pp displayed-real regret; the 63 released IDs join to task instructions and real outcomes, but printed GPT-5 labels and the 63/65 reconciliation remain unpublished",direct decision failure plus provenance and metric sensitivity,confirmed,"Fig. 1 printed bars; Table 4; evaluation section; revision-pinned OSCAR/RoboArena join"
Hi-WM,2604.21741v2,policy-task-variant,none,no rule stated,"Figure r approximately reproduces but real-axis values conflict with Table 2",source inconsistency,confirmed,"Sec. 5; Fig. 6a; Table 2"
WM-PolicyEval,2511.11520v3,policy-task,none,no rule stated,"Cosmos plotted r=.719 not .687 and selects OpenVLA; IRASim plotted r=.277 not .613 and selects Octo-Base with .275 real regret",direct decision failure plus printed-value error,confirmed,"Sec. 4; Fig. 6b vector markers"
