paper,coefficient_id,arxiv_version,coefficient_scope,displayed_points,policy_models,base_lineages,training_runs,checkpoints,tasks,conditions,coefficient_axis,uncertainty_on_r,selection_rule,finite_panel_description,generalization_axis_stated,target_population_defined,new_policy_inference,new_task_inference,crossed_inference,k_policy,k_task,k_run,k_condition,source_passage,fact_ambiguity,interpretive_note,coder_id,coding_date,judgment_fields
real2sim-eval,Fig3-sloth,2511.04665v2,"Fig. 3 sloth-toy panel, checkpoint-level policy results",17,4,4,?,17,1,0,"policy|checkpoint",none,yes,yes,policy,no,unsupported,unidentified,unidentified,4,1,?,0,"Sec. IV; Fig. 3; Table I","The source states that Figure 3 contains all policy checkpoints, though it does not document them as independent training runs.","The all-checkpoints statement is a disclosed checkpoint rule; the finite panel is not evidence for a population of future policies or tasks.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated|new_task_inference|crossed_inference"
real2sim-eval,Fig3-rope,2511.04665v2,"Fig. 3 rope panel, checkpoint-level policy results",20,4,4,?,20,1,0,"policy|checkpoint",none,yes,yes,policy,no,unsupported,unidentified,unidentified,4,1,?,0,"Sec. IV; Fig. 3; Table I","The source states that Figure 3 contains all policy checkpoints, though it does not document them as independent training runs.","The all-checkpoints statement is a disclosed checkpoint rule; the high all-point and negative best-checkpoint coefficients answer different finite-panel questions.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated|new_task_inference|crossed_inference"
real2sim-eval,Fig3-T,2511.04665v2,"Fig. 3 T-insertion panel, checkpoint-level policy results",15,4,4,?,15,1,0,"policy|checkpoint",none,yes,yes,policy,no,unsupported,unidentified,unidentified,4,1,?,0,"Sec. IV; Fig. 3; Table I","The source states that Figure 3 contains all policy checkpoints, though it does not document them as independent training runs.","The all-checkpoints statement is a disclosed checkpoint rule; the finite panel is not evidence for a population of future policies or tasks.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated|new_task_inference|crossed_inference"
RoboWorld,Fig5a-GPT4o,2607.01060v4,"Fig. 5a compares RoboWorld scores with the RoboArena leaderboard across eight released policies",8,8,?, ?,0,?,4186,"policy",p-value,no,yes,policy,no,unsupported,unidentified,unidentified,8,?, ?,4186,"Sec. 5.3; Fig. 5a","The paper does not define a policy sampling frame; 4,186 rollouts and their tasks/environments are inputs to eight policy-level aggregates, not independent correlation points.","The coefficient precisely describes the eight-policy leaderboard panel; its p-value does not establish transfer to an unspecified population of new policies.",auditor-main,2026-07-23,"base_lineages|training_runs|tasks|new_task_inference|crossed_inference"
Digital Cousins,main-correlation,2604.15805v1,"Four policy architectures evaluated at four generalization levels",16,4,4,4,0,?,4,"policy|condition",none,no,yes,"policy|condition",no,unsupported,unidentified,unsupported,4,?,4,4,"Sec. IV; correlation figure and generalization-tier description","The coefficient pools repeated generalization tiers within architecture; the task count entering the plotted summary is not stated as an inferential sampling axis.","The 16 cells are a defined benchmark panel, but four architectures and four designed tiers are not a probability sample of future policies or conditions.",auditor-main,2026-07-23,"tasks|generalization_axis_stated|new_task_inference"
SIMPLER,Fig1-GoogleRobot,2405.05941v1,"Fig. 1 Google Robot correlation uses six model/checkpoint points",6,6,4,?,3,?,0,"policy|checkpoint",none,no,yes,policy,no,unsupported,unidentified,unidentified,4,?, ?,0,"Secs. IV-B and IV-C; Fig. 1; Table V","Three plotted RT-1 entries are checkpoints from one model lineage; the paper does not posit a sampled policy population.","The six displayed model/checkpoint results are valid descriptive points; treating them as six independent draws from future policies is unsupported.",auditor-main,2026-07-23,"training_runs|tasks|new_task_inference|crossed_inference"
SimFoundry,mean-seven-task-r,2606.28276v3,"Headline 0.911 is the unweighted mean of seven per-task Pearson correlations: five zero-shot policies on four tasks and three fine-tuned policies on three tasks",29,8,5,?,0,7,2,"policy|task|mean-of-correlations",none,yes,yes,"policy|task",no,unsupported,unsupported,unsupported,5,7,?,2,"Sec. 5.1; Fig. 4; Table G.1","The seven component correlations have different policy rosters (k=5 versus k=3); 3×3 + 5×4 = 29 underlying pairs, and averaging them does not create one 29-point Pearson coefficient. The eight displayed policy/checkpoint entries collapse to five named model families, so policy_models and base_lineages use different conventions.","The headline is a summary of seven finite task panels. Policy-block resolution differs between zero-shot and fine-tuned components and cannot be represented by one universal k.",auditor-main,2026-07-23,"policy_models|training_runs|conditions|generalization_axis_stated"
WorldGym,Fig4a-pooled,2506.00613v3,"Fig. 4a pools three policy-by-task success rates across 17 tasks",51,3,3,?,0,17,0,"policy|task",p-value,no,yes,"policy|task",no,unsupported,unsupported,unsupported,3,17,?,0,"Sec. 4.1; Fig. 4a; Table 5","The same three policies recur over tasks; neither policies nor tasks are sampled from a defined target population.","Figure 4a prints r=0.78 and p<0.001 over 51 benchmark cells. Policy-level and task-level generalization are separate unsupported extrapolations.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated"
RoboSnap,Fig6,2607.06699v1,"Fig. 6 correlates real and simulated success over ten task-specific pi0.5 fine-tunes",10,10,1,?,0,10,0,"task|policy",none,yes,yes,"policy|task",no,unsupported,unsupported,unsupported,1,10,?,0,"Secs. 4.3 and 4.5; Fig. 6","The source does not report whether the task-specific fine-tunes are separate stochastic training runs.","The task-specific fine-tunes confound policy and task axes; the panel remains descriptive because neither target population is defined.",auditor-main,2026-07-23,"training_runs|generalization_axis_stated|new_policy_inference"
REALM,Fig6,2512.19562v1,"Fig. 6 panels pool policy-task cells overall and within perturbations",35,3,2-3,?,0,7,5,"policy|task|condition",p-value,no,yes,"policy|task|condition",no,unsupported,unsupported,unsupported,3,7,?,5,"Sec. IV; Fig. 6","pi0 and pi0-FAST share a family; the paper does not define a sampled policy, task, or perturbation population.","The coefficient describes the displayed cells; neither the pooled p-value nor the design establishes new-policy or new-task inference.",auditor-main,2026-07-23,"base_lineages|training_runs|generalization_axis_stated"
