paper,eligibility_status,reason,canonical_decision_output,scope_note
real2sim-eval,eligible_numeric,The tie-complete paper-evidence result enumerates every maximizing checkpoint combination and identifies possible and necessary policy winner sets under every declared checkpoint-collapse rule.,research/claim-evidence-synthesis/result-paper-evidence.json#checkpoint_selection,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
RoboWorld,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#RoboWorld,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
Digital Cousins,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#Digital Cousins,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
SIMPLER,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#SIMPLER,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
SimFoundry,ineligible_unreconstructable_estimand,The headline averages task-level correlations with different candidate rosters; no common candidate-level decision matrix is publicly recoverable.,,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
WorldGym,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#WorldGym,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
RoboSnap,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#RoboSnap,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
REALM,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#REALM,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
PolaRiS,ineligible_unreconstructable_estimand,The point cloud is only partially recoverable and the source-specific per-environment estimator needed for a common decision is unavailable.,,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
SC3-Eval,ineligible_unrecoverable_matrix,"The plotted markers are too occluded to deconflict into a complete candidate matrix, and no authoritative result matrix is released.",,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
WorldEval,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#WorldEval,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
A Practical Recipe,eligible_rank_only,"Eleven printed real/sim rank panels identify top-1 agreement, but absolute policy outcomes and displayed-real regret are unavailable.",research/decision-validity/result-reversal-evidence.json#A Practical Recipe,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
Cosmos-Surg-dVRK,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#Cosmos-Surg-dVRK,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
Gemini/Veo,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#Gemini/Veo,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
DreamDojo,ineligible_no_common_roster,The recovered headline panel follows checkpoints of one policy training lineage rather than at least two candidate policies on a common decision roster.,,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
dWorldEval,ineligible_unrecoverable_matrix,Only a partial headline panel is recoverable; the complete policy-by-task candidate matrix and identities are not available.,,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
WEAVER,eligible_numeric,The retained source record supplies a common candidate roster with real and simulated/evaluator values sufficient for winner and regret calculation.,research/decision-validity/result-reversal-evidence.json#WEAVER,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
PlayWorld,ineligible_unrecoverable_matrix,"Heavy marker occlusion prevents a complete candidate-level reconstruction, and no authoritative result matrix is released.",,Outcome-exposed completeness accounting within the frozen 26-paper corpus; not a prevalence or calibration sample.
