"paper","pinned_arxiv","coefficient_id","coefficient_value","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","coder_id","coding_date","judgment_fields"
"real2sim-eval","2511.04665v2","main-toy-packing-pearson","r=0.944","checkpoint success rates for toy packing in real and full simulator","16","4","?","?","16","1","0","checkpoint","none","no","Sec. 4 Experiment Setup and Sim-and-Real Correlation; Table 1; Fig. exp-corr (paper pp. 5-6)","The source documents 16 checkpoints in the replay appendix but does not explicitly state that the main panel uses exactly the same checkpoint set; displayed point count is coded 16 from the plotted/appendix correspondence.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"real2sim-eval","2511.04665v2","main-rope-routing-pearson","r=0.901","checkpoint success rates for rope routing in real and full simulator","15","4","?","?","15","1","0","checkpoint","none","no","Sec. 4; Table 1; Fig. exp-corr (paper pp. 5-6)","Main-panel checkpoint count is linked to the 15-checkpoint replay description but not restated in the main caption.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"real2sim-eval","2511.04665v2","main-t-block-pushing-pearson","r=0.915","checkpoint success rates for T-block pushing in real and full simulator","12","4","?","?","12","1","0","checkpoint","none","no","Sec. 4; Table 1; Fig. exp-corr (paper pp. 5-6)","Main-panel checkpoint count is linked to the 12-checkpoint replay description but not restated in the main caption.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"real2sim-eval","2511.04665v2","scaled-200-toy-pearson","r=0.897","same toy-packing checkpoint panel with each simulated success rate estimated from 200 randomized states","16","4","?","?","16","1","0","checkpoint","CI","no","Appendix, Scaling up Simulation Evaluation, Fig. app-corr-200 (appendix p. 15)","The shaded 95% interval is visible, but the caption does not explicitly say whether it is uncertainty on r or a fitted-band interval.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"real2sim-eval","2511.04665v2","scaled-200-rope-pearson","r=0.918","same rope-routing checkpoint panel with each simulated success rate estimated from 200 randomized states","15","4","?","?","15","1","0","checkpoint","CI","no","Appendix, Scaling up Simulation Evaluation, Fig. app-corr-200 (appendix p. 15)","Nature of the plotted 95% interval on the correlation panel is not fully specified.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"real2sim-eval","2511.04665v2","scaled-200-t-block-pearson","r=0.950","same T-block checkpoint panel with each simulated success rate estimated from 200 randomized states","12","4","?","?","12","1","0","checkpoint","CI","no","Appendix, Scaling up Simulation Evaluation, Fig. app-corr-200 (appendix p. 15)","Nature of the plotted 95% interval on the correlation panel is not fully specified.","yes","policy","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"RoboWorld","2607.01060v4","roboarena-score-pearson","r=0.989","one RoboWorld rubric score and one RoboArena leaderboard score for each of eight open-sourced policies","8","8","?","?","0","0","4186","policy","p-value|bootstrap","partial","Sec. 5.1 footnote 1; Sec. 5.3; Fig. 5(a-b), paper pp. 5-7","Only open-sourced policies and episodes with all three views are eligible; bootstrap in Fig. 5(b) concerns trial-count sensitivity, while the full-panel r has p<0.001.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","?","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Digital Cousins","2604.15805v1","pooled-sim-real-pearson","r=0.91","success-rate cells for ACT, DP, SmolVLA, and pi0 across three tasks and four generalization levels","48","4","?","?","0","3","4","crossed","none","no","Sec. IV-C Real-to-Sim Evaluation Correlation; Fig. 7, paper pp. 8-9","Caption says average success rates across three tasks but prose also describes points across tasks; whether task is averaged before correlation is not explicit.","yes","policy|task|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","3","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SIMPLER","2405.05941v1","sapien-google-pooled","r=0.923","real vs SIMPLER-Variant-Aggregation success-rate cells on Google Robot Pick Coke Can and Move Near tasks","12","6","?","?","0","2","0","crossed","none","no","Sec. VI-D, Fig. 10 and Appendix Table IV, paper p. 8 and appendix pp. 15-16","Fig. 10 pools task-policy cells; the paper does not state the exact pooling formula in the caption.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","6","2","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"SIMPLER","2405.05941v1","isaac-google-pooled","r=0.919","real vs Isaac-SIMPLER success-rate cells on the same six policies and two Google Robot tasks","12","6","?","?","0","2","0","crossed","none","no","Sec. VI-D, Fig. 10; Appendix Table XI, paper p. 8","Isaac values are reproduced for the Google panel; exact cell-level inclusion is not enumerated beside Fig. 10.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","6","2","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
