# Auspex -- RoboSnap sim-vs-real scatter, VECTOR-EXTRACTED from Fig. 5 ("Sim-real
# correlation") of arXiv:2607.06699.
#
# SOURCE: arXiv e-print tarball https://arxiv.org/e-print/2607.06699 (gzip dated 2026-07-09) ->
#   figures/figure5.pdf. The scatter panel is an original VECTOR figure (10 circle markers as
#   PDF path fills; the 9 embedded JPEG XObjects are only the real/sim photo strip on the left).
#   Caption + inline numeric table at sections/experiment.tex:358-382 (wrapfigure,
#   label fig:sim-real-correlation); published values r=0.887, MMRV=0.0066 at line 389.
# STATUS: EXTRACTED (not eyeballed), 2026-07-20. Reproduces the appendix's as-plotted
#   r=0.9089 EXACTLY, and the inline table gives r=0.8865 -> published 0.887. The appendix's
#   MECHANISM claim is, however, REFUTED by this extraction -- see DIAGNOSIS below.
#
# METHOD: Marker coordinates read from PDF drawing commands (PyMuPDF get_drawings), calibrated
# against the 4 axis tick dots per axis (small 3-pt filled circles at the 0.2/0.4/0.6/0.8
# positions). NO pixel estimation, NO eyeballing.
#   Filters: dark-blue (0.122,0.306,0.475) filled 8-segment circle paths inside the plot area,
#   diameter 10.8-13.0 pt; excludes the 16 axis tick dots (4-segment, 3 pt), spines, and the
#   background panel. Exactly 10 markers survived.
#   Axis calibration: linear fit of tick-dot centres vs tick values; max residual 0.003 data
#   units on both axes. Cross-check against tick-LABEL text centroids agrees to <= 0.006.
#
# TASK ASSIGNMENT: exhaustive (10!) least-squares matching of extracted (x,y) to the inline
# table's (Real, Sim) pairs. Total squared error 0.00306 under the AS-LABELED reading
# (x=Real, y=Sim) vs 0.17154 under the transposed reading (x=Sim, y=Real) -- 56x worse.
#
# DIAGNOSIS (replaces the appendix's "axes transposed + jitter" account):
#   1. AXES ARE NOT TRANSPOSED. x matches the x-axis label "Real-World Success Rate" and
#      y matches "Simulation Success Rate". (Transposition could not change Pearson r anyway.)
#   2. NO JITTER on the tied trio. The three tasks tied at Real=36.7% (1.2, 2.3, 4.1) are
#      drawn at COINCIDENT x (0.3400/0.3402/0.3404; spread 0.12 pt = 0.0004 data units) --
#      but at the WRONG x: 0.340 instead of 0.367 (-2.7 pp each).
#   3. Secondary point errors: task 3.2 drawn at x=0.086 vs 0.067 (+1.9 pp);
#      task 2.2 drawn at y=0.247 vs 0.233 (+1.4 pp). All other points match to <= 0.8 pp.
#   The 0.9089-vs-0.887 gap is driven by these position errors, chiefly the trio shift:
#     r(plotted x, plotted y)                    = 0.9089   (appendix value: reproduced)
#     r after fixing trio x to 0.367             = 0.8894
#     r after also fixing task 3.2 x to 0.067    = 0.8813
#     r(table Real, plotted y)                   = 0.8858
#     r(table Real, table Sim)                   = 0.8865   (published 0.887: reproduced)
#
# COLUMNS: plotted_* are figure coordinates read as labeled (x=Real SR, y=Sim SR), as
# fractions; table_* are the inline-table ground truth (percent/100); d* = plotted - table.
task,pdf_x_pt,pdf_y_pt,plotted_real_sr,plotted_sim_sr,table_real_sr,table_sim_sr,dx,dy,flag
1.1,337.36,155.26,0.3995,0.4983,0.400,0.500,-0.0005,-0.0017,ok
1.2,319.94,216.38,0.3400,0.2728,0.367,0.267,-0.0270,+0.0058,tied_trio_x_collapsed_at_0.340_not_jittered
2.1,348.63,191.35,0.4380,0.3651,0.433,0.367,+0.0050,-0.0019,ok
2.2,299.40,223.25,0.2698,0.2474,0.267,0.233,+0.0028,+0.0144,y_offset
2.3,320.01,208.20,0.3402,0.3030,0.367,0.300,-0.0268,+0.0030,tied_trio_x_collapsed_at_0.340_not_jittered
3.1,298.89,236.79,0.2681,0.1974,0.267,0.200,+0.0011,-0.0026,ok
3.2,245.67,279.08,0.0863,0.0414,0.067,0.033,+0.0193,+0.0084,x_offset
4.1,320.06,198.47,0.3404,0.3389,0.367,0.333,-0.0266,+0.0059,tied_trio_x_collapsed_at_0.340_not_jittered
4.2,366.52,93.76,0.4991,0.7253,0.500,0.733,-0.0009,-0.0077,ok
4.3,290.38,252.76,0.2390,0.1385,0.233,0.133,+0.0060,+0.0055,ok
