episode_id,created_ts_ns,utc_date,policy_model,inference.policy.server.host,inference.policy.server.device
000000000000,1774342697081461155,2026-03-24,groot,string:0.0.0.0,<missing>
000000000001,1774343988790245237,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000002,1774344415998651079,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000003,1774344679231523325,2026-03-24,act,string:0.0.0.0,string:cuda
000000000004,1774345125266467304,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000005,1774345385268271449,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000006,1774345862846047356,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000007,1774345909969618993,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000008,1774346233712205788,2026-03-24,act,string:0.0.0.0,string:cuda
000000000009,1774346513984844761,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000010,1774346772610860549,2026-03-24,groot,string:0.0.0.0,<missing>
000000000011,1774347096648576820,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000012,1774347368358381601,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000013,1774347466382335959,2026-03-24,groot,string:0.0.0.0,<missing>
000000000014,1774347744850040390,2026-03-24,groot,string:0.0.0.0,<missing>
000000000015,1774348018258705187,2026-03-24,groot,string:0.0.0.0,<missing>
000000000016,1774348300859140737,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000017,1774348569440792043,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000018,1774348969363473049,2026-03-24,groot,string:0.0.0.0,<missing>
000000000019,1774349239791522254,2026-03-24,groot,string:0.0.0.0,<missing>
000000000020,1774349542348111346,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000021,1774349806528247019,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000022,1774350037569333930,2026-03-24,groot,string:0.0.0.0,<missing>
000000000023,1774350307186770098,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000024,1774350572553783653,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000025,1774350892206865810,2026-03-24,groot,string:0.0.0.0,<missing>
000000000026,1774351172328842036,2026-03-24,groot,string:0.0.0.0,<missing>
000000000027,1774351468520232120,2026-03-24,act,string:0.0.0.0,string:cuda
000000000028,1774351749913925145,2026-03-24,act,string:0.0.0.0,string:cuda
000000000029,1774352010031605662,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000030,1774352268835338879,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000031,1774352926758821160,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000032,1774353030342509205,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000033,1774353224532299486,2026-03-24,groot,string:0.0.0.0,<missing>
000000000034,1774353497019368156,2026-03-24,groot,string:0.0.0.0,<missing>
000000000035,1774353783770768235,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000036,1774354054966972932,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000037,1774354328198858949,2026-03-24,groot,string:0.0.0.0,<missing>
000000000038,1774354604439589306,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000039,1774354879444658100,2026-03-24,groot,string:0.0.0.0,<missing>
000000000040,1774355166211611808,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000041,1774355430634169995,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000042,1774355737966036885,2026-03-24,groot,string:0.0.0.0,<missing>
000000000043,1774356002192457707,2026-03-24,act,string:0.0.0.0,string:cuda
000000000044,1774356286881764338,2026-03-24,act,string:0.0.0.0,string:cuda
000000000045,1774356876410652189,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000046,1774357143490791171,2026-03-24,groot,string:0.0.0.0,<missing>
000000000047,1774357362138737815,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000048,1774357640751448687,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000049,1774357945835104940,2026-03-24,groot,string:0.0.0.0,<missing>
000000000050,1774358434165451183,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000051,1774359623926871535,2026-03-24,act,string:0.0.0.0,string:cuda
000000000052,1774359888528325552,2026-03-24,groot,string:0.0.0.0,<missing>
000000000053,1774360164608325405,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000054,1774360444621103623,2026-03-24,groot,string:0.0.0.0,<missing>
000000000055,1774360674889660553,2026-03-24,groot,string:0.0.0.0,<missing>
000000000056,1774360994455890982,2026-03-24,act,string:0.0.0.0,string:cuda
000000000057,1774361282472466427,2026-03-24,groot,string:0.0.0.0,<missing>
000000000058,1774361665405638530,2026-03-24,groot,string:0.0.0.0,<missing>
000000000059,1774361915498868091,2026-03-24,act,string:0.0.0.0,string:cuda
000000000060,1774362239957642607,2026-03-24,groot,string:0.0.0.0,<missing>
000000000061,1774362494621299096,2026-03-24,act,string:0.0.0.0,string:cuda
000000000062,1774362724169280452,2026-03-24,groot,string:0.0.0.0,<missing>
000000000063,1774363019650553334,2026-03-24,groot,string:0.0.0.0,<missing>
000000000064,1774363293597221428,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000065,1774363456396445202,2026-03-24,smolvla,string:0.0.0.0,string:cuda
000000000066,1774363725958109912,2026-03-24,groot,string:0.0.0.0,<missing>
000000000067,1774364011565351610,2026-03-24,act,string:0.0.0.0,string:cuda
000000000068,1774364281945000719,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000069,1774364564322613061,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000070,1774364740650426156,2026-03-24,openpi,string:0.0.0.0,<missing>
000000000071,1774430790204299282,2026-03-25,groot,string:0.0.0.0,<missing>
000000000072,1774431088219333327,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000073,1774431192519083666,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000074,1774431486950544309,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000075,1774431775648860673,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000076,1774431970472861012,2026-03-25,groot,string:0.0.0.0,<missing>
000000000077,1774432478801373262,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000078,1774432626906739187,2026-03-25,groot,string:0.0.0.0,<missing>
000000000079,1774432906831416951,2026-03-25,groot,string:0.0.0.0,<missing>
000000000080,1774433214594045135,2026-03-25,act,string:0.0.0.0,string:cuda
000000000081,1774433690799649968,2026-03-25,groot,string:0.0.0.0,<missing>
000000000082,1774434629469464945,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000083,1774434950958787035,2026-03-25,groot,string:0.0.0.0,<missing>
000000000084,1774435214070198340,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000085,1774435531300089865,2026-03-25,act,string:0.0.0.0,string:cuda
000000000086,1774435827099722033,2026-03-25,groot,string:0.0.0.0,<missing>
000000000087,1774436364089433695,2026-03-25,groot,string:0.0.0.0,<missing>
000000000088,1774436682788500783,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000089,1774436756406347511,2026-03-25,act,string:0.0.0.0,string:cuda
000000000090,1774437049260479824,2026-03-25,groot,string:0.0.0.0,<missing>
000000000091,1774437349797366827,2026-03-25,act,string:0.0.0.0,string:cuda
000000000092,1774437659973337171,2026-03-25,groot,string:0.0.0.0,<missing>
000000000093,1774437869928276923,2026-03-25,act,string:0.0.0.0,string:cuda
000000000094,1774438160506754552,2026-03-25,groot,string:0.0.0.0,<missing>
000000000095,1774438454732442887,2026-03-25,act,string:0.0.0.0,string:cuda
000000000096,1774438727712557520,2026-03-25,act,string:0.0.0.0,string:cuda
000000000097,1774439026615937264,2026-03-25,groot,string:0.0.0.0,<missing>
000000000098,1774439386628732773,2026-03-25,smolvla,string:0.0.0.0,string:cuda
000000000099,1774439732224531143,2026-03-25,groot,string:0.0.0.0,<missing>
