panel_id,paper,condition,rule_provenance,aggregation_rule,source_metric_bundle,pearson_r,audit_spearman_rho,real_winners,sim_winners,top1_result,displayed_real_regret_pp,leave_one_task_out_correct,leave_one_task_out_total,all_nonempty_task_subsets_correct,all_nonempty_task_subsets_total,scope_note
Cosmos-Surg-dVRK/automated_fig1b,Cosmos-Surg-dVRK,automated Fig. 1b,source-matched aggregation/action; audit-defined ties/loss,equal-task policy mean over four displayed tasks,Pearson and MMRV,0.941477536836,0.828571428571,GR00T N1 20k,GR00T N1 20k,correct,0.000000,1,4,5,15,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
Cosmos-Surg-dVRK/manual_human_vs_dvrk,Cosmos-Surg-dVRK,manual human-vs-dVRK,source-matched aggregation/action; audit-defined ties/loss,equal-task policy mean over four displayed tasks,Pearson and MMRV,0.883136559068,0.371428571429,GR00T N1 20k,GR00T N1.5 50k,wrong,10.000000,0,4,2,15,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
Digital Cousins,Digital Cousins,four generalization levels,audit-defined,equal-level policy mean,Pearson,0.996862862659,1.000000000000,pi_0,pi_0,correct,0.000000,4,4,15,15,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
EmbodiedSplat/mesh-conditions,EmbodiedSplat,Poly and DN mesh conditions,audit-defined,equal-mesh mean; candidate identity is base lineage x finetuning status,Pearson,0.936263291311,0.800000000000,HM3D-FT,HM3D-FT,correct,0.000000,2,2,3,3,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
Hi-WM,Hi-WM,three displayed tasks,audit-defined,equal-task policy mean,Pearson,0.963796226636,1.000000000000,pi0-post-trained,pi0-post-trained,correct,0.000000,3,3,7,7,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
Mem-World,Mem-World,five displayed tasks,audit-defined,equal-task policy mean,Pearson and p-value,1.000000000000,1.000000000000,pi_0.5,pi_0.5,correct,0.000000,5,5,31,31,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
MolmoSpaces/common-appendix-roster,MolmoSpaces,appendix pick/open/close,audit-defined,equal-task mean over the four-policy intersection across three tasks,Pearson and Spearman,0.982169316909,0.800000000000,CAP,CAP,correct,0.000000,3,3,7,7,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
REALM/Default,REALM,Default,audit-defined,equal-task policy mean over seven displayed tasks,Pearson and MMRV,0.999948100953,1.000000000000,pi0-FAST,pi0-FAST,correct,0.000000,7,7,123,127,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
REALM/Overall,REALM,Overall,audit-defined,equal-task policy mean over seven displayed tasks,Pearson and MMRV,0.999605575553,1.000000000000,pi0-FAST,pi0-FAST,correct,0.000000,7,7,106,127,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
REALM/VB-POSE,REALM,VB-POSE,audit-defined,equal-task policy mean over seven displayed tasks,Pearson and MMRV,0.999539710198,1.000000000000,pi0-FAST,pi0-FAST,correct,0.000000,3,7,88,127,Inventory-derived set of recovered complete direct-cell matrices; outcome-exposed and not a prevalence denominator.
