paper,legacy_policy_lineage_k,permissive_checkpoint_variant_k,permissive_basis
real2sim-eval,4,20,"four policy lineages; largest task panel contains 20 evaluated checkpoints"
RoboWorld,8,8,"eight displayed released policies; no checkpoint expansion"
Digital Cousins,4,4,"four policy architectures repeated across generalization conditions"
SIMPLER,4,6,"four lineages under the legacy coding; six displayed model/checkpoint entries under the permissive coding"
SimFoundry,5,8,"five model families under the legacy coding; eight displayed policy/checkpoint entries"
WorldGym,3,3,"three policies repeated across tasks; task cells are not checkpoint or policy variants"
RoboSnap,1,10,"one shared lineage under the legacy coding; ten task-specific finetunes under the permissive coding"
REALM,3,3,"three displayed policies; no checkpoint expansion"
PolaRiS,4,4,"four policies evaluated at a stated checkpoint rule"
SC3-Eval,1,7,"one policy lineage; seven evaluated checkpoints"
WorldEval,4,4,"four policies repeated across tasks"
A Practical Recipe,5,5,"five policies across multiple rank tables"
Cosmos-Surg-dVRK,3,6,"three policy runs; early and late checkpoint stages treated separately under the permissive coding"
Gemini/Veo,8,8,"eight displayed variants of one base"
DreamDojo,1,6,"one policy lineage; six displayed checkpoints"
dWorldEval,1,5,"one base policy in the LIBERO headline; five displayed checkpoints"
WEAVER,2,2,"two policies repeated across tasks"
PlayWorld,18,18,"eighteen separately trained displayed policy entries"
EmbodiedSplat,2,4,"two base lineages; four displayed policy variants"
MolmoSpaces,3,8,"three to four policy families per task; eight displayed policies in the largest task panel"
Mem-World,2,2,"two post-trained policies repeated across tasks"
Colosseum V2,1,1,"one fixed multitask hardware policy; conditions are not policy variants"
VISER,1,2,"each component correlation contains one policy; the advertised mean spans two policies"
OSCAR,2,7,"two base lineages; seven displayed policy entries"
Hi-WM,2,4,"two base lineages; four displayed variants"
WM-PolicyEval,3,3,"three displayed policies repeated across tasks"
