# Auspex -- WM-PolicyEval real-vs-predicted scatter, VECTOR-EXTRACTED from Fig. 6(b)
# ("Correlation Graph", Policy Evaluation on the Bridge Dataset) of arXiv:2511.11520v3
# ("Scalable Policy Evaluation with Video World Models"). Audited version: v3 (latest as of
# 2026-07-21; submission history v1 2025-11-14, v2 2025-11-17, v3 2025-12-04).
#
# SOURCE: arXiv v3 PDF, page 6, Fig 6(b). The scatter is an original VECTOR figure: 24 markers
#   as PDF path fills (12 tab:blue = Cosmos, 12 tab:orange = IRASim; shapes circle=OpenVLA,
#   square=Octo-Base, triangle=Octo-Small, identified from the gray legend swatches). The two
#   in-figure regression lines are 99-segment polylines spanning x=[0,1].
#   The real-world coefficients appear ONLY in this figure's legend ("Cosmos (MMRV=0.171,
#   Pearson=0.687)", "IRASim (MMRV=0.611, Pearson=0.613)"); Sec. IV-C prose says only
#   "correlates positively". The appendix the paper cites ("Appendix VI-A") is ABSENT from all
#   three arXiv versions (v3 = 8 pp., ends at references) and from the project website page
#   (https://miscsubmission.github.io/world_model_policy_eval/); it was recovered ONLY from the
#   website's source repo at github.com/MiscSubmission/world_model_policy_eval, path
#   depreciate/appendix.pdf (folder literally named "depreciate"; 7 pp., fetched 2026-07-21).
# STATUS: EXTRACTED (not eyeballed), 2026-07-21. Actual-axis values reproduce the recovered
#   appendix's Table XI EXACTLY (12/12) and the in-figure OLS lines reproduce from these points
#   to <=0.0006 (Cosmos: slope 0.6538 vs drawn 0.6541, intercept 0.0178 vs 0.0177; IRASim:
#   0.1911 vs 0.1916, 0.1002 vs 0.0997). The LEGEND coefficients, however, do NOT reproduce
#   from the plotted points -- see DIAGNOSIS.
#
# METHOD: Marker coordinates read from PDF drawing commands (PyMuPDF get_drawings), calibrated
#   against tick-label text centroids (0.0..1.0 both axes; 152.5 pt per data unit). All 48
#   extracted coordinates land on an exact 0.05 grid (residual < 0.005 data units), consistent
#   with the appendix's 20 real trials per policy x task (success rates = multiples of 1/20).
#   Marker classification: circle = 8-Bezier path, square = 1 're' rect, triangle = 3-line path;
#   colors tab:blue (0.122,0.467,0.706) = Cosmos, tab:orange (1.0,0.498,0.055) = IRASim.
#   NO pixel estimation, NO eyeballing.
#
# TASK ASSIGNMENT: appendix Table XI columns (Eggplant, Pot, Carrot, Cup) match the PDF drawing
#   order of each policy's 4 markers EXACTLY on the actual axis for all 3 policies (Octo-Small
#   0.10/0.30/0.15/0.20; Octo-Base 0.15/0.35/0.10/0.30; OpenVLA 0.30/0.50/0.50/0.70), so tasks
#   are assigned by drawing order. Caveat: OpenVLA Pot and Carrot share actual=0.50, so which
#   predicted value (0.20 vs 0.40 Cosmos; 0.15 vs 0.35 IRASim) belongs to which of those two
#   tasks rests on drawing order alone.
#
# TRIALS: real side = 20 trials per policy x task (appendix VIII-C; stated NOWHERE in the arXiv
#   paper itself). Predicted side: number of world-model rollouts per point unstated everywhere.
#
# DIAGNOSIS (legend vs plotted data): From these 12 points per model, Pearson r = 0.7193
#   (Cosmos) and 0.2772 (IRASim) vs legend 0.687 and 0.613. Recovered appendix Table VI reveals
#   the legend numbers are "mean +/- std" aggregates (Cosmos 0.687+/-0.031, MMRV 0.170+/-0.024;
#   IRASim Pearson 0.610+/-0.028, MMRV 0.213+/-0.030) with the +/- basis UNSTATED (no
#   seeds/repeats mentioned). Cosmos as-plotted r=0.7193 sits ~1 sigma above the reported mean
#   -- reconcilable if the scatter shows one of several runs. IRASim as-plotted r=0.2772 is
#   ~12 sigma below 0.610+/-0.028 -- IRRECONCILABLE with the plotted points. The legend's
#   "IRASim MMRV=0.611" matches Table VI's IRASim PEARSON (0.610), not its MMRV (0.213), and
#   exceeds the maximum margin-weighted MMRV attainable from any data on this plot (0.60 = max
#   actual-margin) -- an apparent legend transcription error. Further, appendix Table III
#   (Push-T, a DIFFERENT experiment) carries a character-identical IRASim row
#   (0.610+/-0.028, 0.213+/-0.030) -- duplication across unrelated tables. MMRV recomputed
#   under the paper's own Eq.(1)-(2) (real-margin weight) over the 12 policy-task units:
#   Cosmos 0.2042, IRASim 0.3042; per-policy (N=3, task-mean aggregation): 0.0000 / 0.1833.
#   No convention tested (real/sim margin, rank weight, tie handling, per-task, per-policy,
#   Spearman, Kendall) reproduces the legend pair.
#
# COLUMNS: world_model = evaluator being validated (Cosmos-Predict2-2B post-trained, or IRASim
#   baseline); actual = real-robot success over 20 trials (Bridge replica, appendix Table XI);
#   predicted = world-model-rollout success judged by VLM (figure-only; rollout count unknown).
world_model,policy,task,actual_success_rate,predicted_success_rate
Cosmos,Octo-Small,eggplant,0.10,0.00
Cosmos,Octo-Small,pot,0.30,0.10
Cosmos,Octo-Small,carrot,0.15,0.20
Cosmos,Octo-Small,cup,0.20,0.30
Cosmos,Octo-Base,eggplant,0.15,0.10
Cosmos,Octo-Base,pot,0.35,0.25
Cosmos,Octo-Base,carrot,0.10,0.20
Cosmos,Octo-Base,cup,0.30,0.25
Cosmos,OpenVLA,eggplant,0.30,0.00
Cosmos,OpenVLA,pot,0.50,0.20
Cosmos,OpenVLA,carrot,0.50,0.40
Cosmos,OpenVLA,cup,0.70,0.60
IRASim,Octo-Small,eggplant,0.10,0.00
IRASim,Octo-Small,pot,0.30,0.05
IRASim,Octo-Small,carrot,0.15,0.00
IRASim,Octo-Small,cup,0.20,0.30
IRASim,Octo-Base,eggplant,0.15,0.10
IRASim,Octo-Base,pot,0.35,0.10
IRASim,Octo-Base,carrot,0.10,0.30
IRASim,Octo-Base,cup,0.30,0.30
IRASim,OpenVLA,eggplant,0.30,0.05
IRASim,OpenVLA,pot,0.50,0.15
IRASim,OpenVLA,carrot,0.50,0.35
IRASim,OpenVLA,cup,0.70,0.20
